Age,Gender,Category,Purchase Amount (USD),Season,Review Rating,Subscription Status,Discount Applied,Previous Purchases,Frequency of Purchases,Age Group
70,1,Accessories,38,Fall,3.2,1,1,18,Weekly,65+
24,1,Footwear,100,Fall,4.0,1,1,35,Bi-Weekly,18–25
67,1,Clothing,64,Winter,3.0,1,1,25,Weekly,65+
24,1,Clothing,55,Summer,4.2,1,1,6,Fortnightly,18–25
62,1,Accessories,91,Summer,2.9,1,1,17,Bi-Weekly,56–65
57,1,Clothing,38,Spring,4.1,1,1,17,Monthly,56–65
55,1,Footwear,97,Winter,3.2,1,1,44,Every 3 Months,56–65
45,1,Outerwear,22,Fall,3.0,1,1,6,Fortnightly,46–55
69,1,Clothing,92,Fall,4.2,1,1,45,Fortnightly,65+
67,1,Accessories,84,Fall,4.2,1,1,7,Annually,65+
30,1,Accessories,93,Fall,4.4,1,1,11,Every 3 Months,26–35
24,1,Outerwear,50,Summer,4.2,1,1,41,Every 3 Months,18–25
62,1,Accessories,64,Spring,2.8,1,1,24,Bi-Weekly,56–65
43,1,Clothing,61,Spring,3.7,1,1,21,Weekly,36–45
35,1,Accessories,48,Winter,3.5,1,1,24,Annually,36–45
28,1,Clothing,45,Spring,2.9,1,1,8,Quarterly,26–35
32,1,Accessories,88,Spring,3.0,1,1,12,Fortnightly,26–35
39,1,Footwear,57,Spring,3.7,1,1,48,Fortnightly,36–45
28,1,Accessories,68,Summer,4.4,1,1,6,Quarterly,26–35
47,1,Accessories,94,Spring,4.5,1,1,14,Fortnightly,46–55
20,1,Clothing,41,Spring,4.8,1,1,34,Annually,18–25
63,1,Clothing,83,Summer,2.9,1,1,12,Every 3 Months,56–65
25,1,Outerwear,22,Spring,3.2,1,1,11,Annually,26–35
29,1,Footwear,74,Spring,3.3,1,1,5,Monthly,26–35
50,1,Clothing,90,Winter,4.2,1,1,25,Fortnightly,46–55
18,1,Clothing,79,Spring,2.9,1,1,11,Annually,18–25
70,1,Footwear,28,Spring,4.6,1,1,27,Every 3 Months,65+
66,1,Accessories,88,Fall,4.1,1,1,43,Annually,65+
28,1,Clothing,26,Spring,3.1,1,1,18,Every 3 Months,26–35
54,1,Accessories,27,Winter,4.2,1,1,32,Bi-Weekly,46–55
19,1,Clothing,83,Fall,4.5,1,1,27,Every 3 Months,18–25
20,1,Accessories,39,Summer,3.7,1,1,24,Weekly,18–25
43,1,Accessories,89,Winter,3.7,1,1,31,Quarterly,36–45
38,1,Outerwear,68,Winter,3.4,1,1,39,Fortnightly,36–45
50,1,Clothing,90,Summer,3.0,1,1,36,Fortnightly,46–55
64,1,Clothing,34,Fall,4.2,1,1,5,Annually,56–65
49,1,Clothing,51,Summer,2.9,1,1,47,Bi-Weekly,46–55
47,1,Clothing,45,Winter,3.5,1,1,29,Fortnightly,46–55
36,1,Clothing,88,Winter,4.1,1,1,43,Bi-Weekly,36–45
55,1,Outerwear,85,Summer,4.3,1,1,40,Every 3 Months,56–65
25,1,Accessories,100,Winter,2.8,1,1,4,Monthly,26–35
53,1,Accessories,42,Spring,4.9,1,1,39,Weekly,46–55
49,1,Footwear,53,Summer,3.3,1,1,45,Fortnightly,46–55
35,1,Accessories,86,Spring,3.2,1,1,20,Bi-Weekly,36–45
29,1,Clothing,66,Spring,4.4,1,1,14,Weekly,26–35
47,1,Accessories,100,Winter,4.8,1,1,33,Weekly,46–55
53,1,Accessories,47,Fall,4.2,1,1,18,Annually,46–55
33,1,Clothing,25,Fall,4.0,1,1,9,Weekly,26–35
21,1,Accessories,51,Winter,2.5,1,1,34,Annually,18–25
32,1,Clothing,41,Summer,3.9,1,1,33,Fortnightly,26–35
52,1,Footwear,73,Winter,4.9,1,1,15,Bi-Weekly,46–55
67,1,Accessories,42,Winter,3.5,1,1,4,Bi-Weekly,65+
43,1,Accessories,20,Spring,4.2,1,1,25,Annually,36–45
58,1,Accessories,30,Spring,4.7,1,1,20,Every 3 Months,56–65
20,1,Accessories,53,Summer,4.5,1,1,5,Quarterly,18–25
61,1,Accessories,74,Spring,2.8,1,1,16,Quarterly,56–65
32,1,Clothing,57,Fall,2.9,1,1,13,Annually,26–35
38,1,Accessories,57,Winter,3.2,1,1,11,Every 3 Months,36–45
21,1,Clothing,77,Winter,4.9,1,1,21,Annually,18–25
37,1,Clothing,40,Summer,3.7,1,1,6,Annually,36–45
27,1,Clothing,46,Summer,4.3,1,1,29,Monthly,26–35
36,1,Clothing,78,Fall,3.9,1,1,15,Annually,36–45
32,1,Accessories,59,Spring,3.2,1,1,17,Bi-Weekly,26–35
51,1,Accessories,75,Summer,3.1,1,1,32,Weekly,46–55
64,1,Clothing,54,Spring,3.9,1,1,42,Annually,56–65
68,1,Footwear,42,Spring,2.6,1,1,21,Monthly,65+
68,1,Clothing,44,Winter,3.3,1,1,9,Bi-Weekly,65+
33,1,Clothing,52,Fall,4.6,1,1,16,Annually,26–35
65,1,Accessories,69,Summer,4.6,1,1,42,Fortnightly,65+
48,1,Accessories,26,Summer,4.4,1,1,37,Bi-Weekly,46–55
69,1,Outerwear,33,Spring,4.2,1,1,32,Quarterly,65+
59,1,Accessories,32,Spring,3.0,1,1,28,Bi-Weekly,56–65
48,1,Accessories,85,Winter,4.0,1,1,13,Weekly,46–55
25,1,Clothing,30,Fall,3.5,1,1,11,Fortnightly,26–35
29,1,Clothing,29,Winter,3.0,1,1,36,Bi-Weekly,26–35
57,1,Clothing,95,Spring,3.7,1,1,23,Annually,56–65
23,1,Footwear,69,Summer,4.0,1,1,37,Monthly,18–25
45,1,Footwear,69,Fall,4.2,1,1,21,Bi-Weekly,46–55
38,1,Accessories,61,Spring,2.5,1,1,22,Bi-Weekly,36–45
21,1,Clothing,94,Summer,3.0,1,1,9,Monthly,18–25
32,1,Clothing,30,Fall,3.2,1,1,16,Annually,26–35
63,1,Clothing,45,Summer,3.5,1,1,4,Quarterly,56–65
29,1,Accessories,39,Summer,4.8,1,1,3,Bi-Weekly,26–35
27,1,Accessories,51,Summer,2.6,1,1,6,Annually,26–35
56,1,Accessories,37,Spring,3.4,1,1,18,Fortnightly,56–65
30,1,Clothing,62,Winter,3.7,1,1,34,Bi-Weekly,26–35
49,1,Outerwear,85,Fall,4.5,1,1,26,Monthly,46–55
58,1,Clothing,33,Winter,3.7,1,1,50,Weekly,56–65
57,1,Clothing,26,Fall,3.3,1,1,40,Monthly,56–65
60,1,Footwear,99,Spring,4.7,1,1,24,Quarterly,56–65
69,1,Accessories,39,Spring,2.7,1,1,33,Annually,65+
70,1,Clothing,20,Spring,4.6,1,1,19,Every 3 Months,65+
53,1,Accessories,42,Winter,2.7,1,1,24,Quarterly,46–55
25,1,Footwear,74,Spring,4.8,1,1,19,Weekly,26–35
48,1,Footwear,26,Summer,4.4,1,1,4,Bi-Weekly,46–55
69,1,Clothing,53,Winter,4.0,1,1,11,Every 3 Months,65+
25,1,Footwear,80,Summer,3.2,1,1,28,Fortnightly,26–35
29,1,Accessories,98,Spring,4.4,1,1,24,Weekly,26–35
46,1,Clothing,95,Spring,3.8,1,1,25,Every 3 Months,46–55
37,1,Clothing,44,Summer,3.6,1,1,27,Every 3 Months,36–45
20,1,Footwear,60,Summer,3.3,1,1,49,Weekly,18–25
40,1,Clothing,84,Winter,3.4,1,1,45,Bi-Weekly,36–45
60,1,Clothing,59,Fall,3.5,1,1,26,Annually,56–65
26,1,Outerwear,49,Summer,3.6,1,1,4,Annually,26–35
29,1,Accessories,32,Winter,3.2,1,1,3,Every 3 Months,26–35
66,1,Accessories,29,Fall,3.7,1,1,45,Bi-Weekly,65+
66,1,Clothing,22,Spring,4.5,1,1,21,Fortnightly,65+
56,1,Clothing,85,Winter,4.6,1,1,50,Fortnightly,56–65
69,1,Clothing,52,Winter,4.1,1,1,19,Monthly,65+
38,1,Clothing,89,Spring,3.4,1,1,6,Annually,36–45
42,1,Clothing,77,Spring,3.7,1,1,50,Every 3 Months,36–45
30,1,Clothing,24,Summer,3.3,1,1,17,Every 3 Months,26–35
66,1,Accessories,24,Spring,4.5,1,1,24,Annually,65+
36,1,Accessories,22,Fall,3.3,1,1,46,Monthly,36–45
58,1,Clothing,82,Fall,4.3,1,1,42,Every 3 Months,56–65
45,1,Accessories,67,Winter,2.5,1,1,10,Annually,46–55
47,1,Clothing,74,Spring,2.6,1,1,1,Every 3 Months,46–55
66,1,Accessories,72,Summer,4.9,1,1,28,Quarterly,65+
41,1,Footwear,36,Summer,4.7,1,1,48,Quarterly,36–45
41,1,Accessories,95,Winter,3.0,1,1,47,Monthly,36–45
66,1,Clothing,78,Winter,3.5,1,1,29,Bi-Weekly,65+
37,1,Clothing,82,Summer,4.8,1,1,37,Quarterly,36–45
70,1,Clothing,70,Winter,4.3,1,1,38,Annually,65+
62,1,Accessories,41,Fall,3.2,1,1,48,Weekly,56–65
61,1,Outerwear,42,Summer,3.1,1,1,36,Weekly,56–65
48,1,Outerwear,50,Fall,2.8,1,1,9,Weekly,46–55
70,1,Clothing,31,Summer,2.9,1,1,34,Monthly,65+
46,1,Clothing,51,Winter,3.7,1,1,43,Bi-Weekly,46–55
31,1,Clothing,98,Fall,3.3,1,1,46,Quarterly,26–35
19,1,Clothing,86,Winter,2.8,1,1,5,Monthly,18–25
39,1,Clothing,64,Winter,4.5,1,1,15,Bi-Weekly,36–45
41,1,Clothing,46,Fall,2.6,1,1,30,Annually,36–45
20,1,Clothing,85,Spring,3.7,1,1,44,Every 3 Months,18–25
36,1,Accessories,81,Fall,4.4,1,1,16,Annually,36–45
32,1,Clothing,59,Winter,4.3,1,1,16,Annually,26–35
69,1,Clothing,79,Winter,3.5,1,1,16,Weekly,65+
40,1,Clothing,33,Spring,3.8,1,1,21,Every 3 Months,36–45
40,1,Clothing,47,Summer,3.5,1,1,39,Every 3 Months,36–45
20,1,Accessories,20,Summer,4.6,1,1,40,Bi-Weekly,18–25
64,1,Outerwear,36,Spring,2.6,1,1,48,Every 3 Months,56–65
27,1,Footwear,39,Summer,4.4,1,1,26,Monthly,26–35
24,1,Clothing,71,Winter,4.0,1,1,46,Monthly,18–25
48,1,Footwear,59,Winter,4.4,1,1,27,Annually,46–55
49,1,Clothing,50,Spring,4.7,1,1,5,Weekly,46–55
36,1,Footwear,41,Fall,3.9,1,1,43,Fortnightly,36–45
56,1,Clothing,59,Fall,2.7,1,1,17,Fortnightly,56–65
37,1,Accessories,87,Winter,3.7,1,1,3,Bi-Weekly,36–45
42,1,Clothing,68,Spring,2.6,1,1,47,Fortnightly,36–45
28,1,Clothing,90,Winter,3.9,1,1,24,Bi-Weekly,26–35
27,1,Clothing,71,Fall,4.9,1,1,12,Every 3 Months,26–35
63,1,Footwear,64,Fall,4.1,1,1,35,Monthly,56–65
58,1,Accessories,76,Fall,3.0,1,1,42,Weekly,56–65
37,1,Accessories,42,Fall,4.1,1,1,1,Every 3 Months,36–45
56,1,Clothing,80,Spring,3.8,1,1,27,Weekly,56–65
18,1,Accessories,56,Spring,4.0,1,1,16,Bi-Weekly,18–25
48,1,Accessories,25,Summer,3.6,1,1,36,Every 3 Months,46–55
31,1,Footwear,74,Winter,3.0,1,1,30,Every 3 Months,26–35
51,1,Clothing,30,Summer,3.0,1,1,18,Fortnightly,46–55
65,1,Clothing,96,Spring,2.6,1,1,45,Annually,65+
53,1,Footwear,64,Fall,3.4,1,1,1,Fortnightly,46–55
55,1,Clothing,88,Winter,3.1,1,1,42,Fortnightly,56–65
62,1,Footwear,88,Summer,3.0,1,1,7,Every 3 Months,56–65
55,1,Accessories,88,Summer,3.7,1,1,50,Quarterly,56–65
64,1,Clothing,36,Spring,3.5,1,1,37,Fortnightly,56–65
52,1,Clothing,40,Spring,2.8,1,1,18,Monthly,46–55
24,1,Accessories,39,Spring,4.5,1,1,29,Monthly,18–25
38,1,Accessories,40,Summer,3.3,1,1,45,Quarterly,36–45
59,1,Accessories,34,Winter,3.4,1,1,13,Weekly,56–65
27,1,Footwear,83,Winter,3.2,1,1,47,Monthly,26–35
24,1,Clothing,85,Summer,3.7,1,1,7,Weekly,18–25
23,1,Outerwear,27,Summer,4.6,1,1,11,Bi-Weekly,18–25
69,1,Accessories,78,Spring,5.0,1,1,39,Monthly,65+
59,1,Accessories,32,Summer,4.4,1,1,6,Quarterly,56–65
51,1,Footwear,51,Fall,4.9,1,1,2,Bi-Weekly,46–55
63,1,Accessories,32,Spring,4.1,1,1,39,Every 3 Months,56–65
54,1,Clothing,62,Winter,4.9,1,1,23,Monthly,46–55
32,1,Clothing,29,Fall,4.7,1,1,46,Bi-Weekly,26–35
39,1,Accessories,69,Fall,3.0,1,1,19,Weekly,36–45
66,1,Accessories,25,Winter,3.4,1,1,3,Every 3 Months,65+
28,1,Clothing,76,Winter,3.2,1,1,47,Quarterly,26–35
50,1,Accessories,77,Fall,2.9,1,1,6,Quarterly,46–55
70,1,Clothing,33,Fall,4.5,1,1,6,Annually,65+
67,1,Clothing,93,Fall,2.7,1,1,12,Bi-Weekly,65+
64,1,Accessories,39,Spring,3.4,1,1,40,Quarterly,56–65
45,1,Outerwear,93,Summer,4.6,1,1,38,Fortnightly,46–55
22,1,Accessories,82,Summer,2.7,1,1,10,Quarterly,18–25
27,1,Footwear,42,Spring,4.2,1,1,28,Monthly,26–35
25,1,Accessories,71,Winter,3.2,1,1,19,Annually,26–35
37,1,Clothing,86,Spring,4.8,1,1,25,Fortnightly,36–45
26,1,Clothing,82,Spring,3.3,1,1,38,Annually,26–35
